#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
Hspa2	Clpb	2106962	2093302	ENSMUSP00000079306	ENSMUSP00000001884	0.386	0.000	0.000	0.000	0.321	0.297	0.000	0.870	0.956
Hspa1b	Hspa8	2113648	2094310	ENSMUSP00000128525	ENSMUSP00000015800	0.000	0.000	0.527	0.987	0.177	0.168	0.900	0.750	0.926
Sugt1	Hspa9	2102636	2096219	ENSMUSP00000052942	ENSMUSP00000025217	0.000	0.000	0.000	0.000	0.372	0.181	0.000	0.480	0.709
Hsp90ab1	Clpb	2096071	2093302	ENSMUSP00000024739	ENSMUSP00000001884	0.091	0.000	0.000	0.000	0.458	0.558	0.000	0.831	0.959
Hspa2	Hsph1	2106962	2106054	ENSMUSP00000079306	ENSMUSP00000074392	0.000	0.000	0.516	0.779	0.278	0.299	0.000	0.736	0.605
Hspa1b	Hsf1	2113648	2105742	ENSMUSP00000128525	ENSMUSP00000072617	0.000	0.000	0.000	0.000	0.000	0.254	0.900	0.883	0.990
Dnajb3	Hsp90aa1	2112276	2095266	ENSMUSP00000112703	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.621	0.198	0.000	0.589	0.867
Sugt1	Stip1	2102636	2096458	ENSMUSP00000052942	ENSMUSP00000025918	0.000	0.000	0.000	0.630	0.083	0.556	0.000	0.065	0.579
Hsp90ab1	Hsp90aa1	2096071	2095266	ENSMUSP00000024739	ENSMUSP00000021698	0.000	0.000	0.527	0.985	0.616	0.896	0.900	0.979	0.995
Hsph1	Sugt1	2106054	2102636	ENSMUSP00000074392	ENSMUSP00000052942	0.000	0.000	0.000	0.000	0.446	0.666	0.000	0.456	0.893
Sugt1	Hsp90ab1	2102636	2096071	ENSMUSP00000052942	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.960	0.958	0.900	0.950	0.999
Stip1	Hsp90aa1	2096458	2095266	ENSMUSP00000025918	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.946	0.896	0.000	0.959	0.999
Hsf1	Hspa9	2105742	2096219	ENSMUSP00000072617	ENSMUSP00000025217	0.000	0.000	0.000	0.000	0.000	0.176	0.000	0.359	0.462
Hspa1b	Akt1	2113648	2093284	ENSMUSP00000128525	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.925	0.932
Hsph1	Hsp90ab1	2106054	2096071	ENSMUSP00000074392	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.778	0.755	0.000	0.935	0.996
Hsph1	Clpb	2106054	2093302	ENSMUSP00000074392	ENSMUSP00000001884	0.386	0.000	0.000	0.000	0.321	0.297	0.000	0.888	0.964
Hsph1	Dnajb1	2106054	2093717	ENSMUSP00000074392	ENSMUSP00000005620	0.454	0.000	0.391	0.000	0.667	0.282	0.000	0.898	0.990
Grpel2	Grpel1	2102724	2098073	ENSMUSP00000053440	ENSMUSP00000031099	0.000	0.000	0.526	0.900	0.000	0.000	0.900	0.696	0.911
Grpel2	Dnajc3	2102724	2095613	ENSMUSP00000053440	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.243	0.809
Hspa9	Clpb	2096219	2093302	ENSMUSP00000025217	ENSMUSP00000001884	0.386	0.000	0.000	0.000	0.355	0.297	0.000	0.857	0.957
Hsph1	Grpel1	2106054	2098073	ENSMUSP00000074392	ENSMUSP00000031099	0.454	0.000	0.000	0.000	0.638	0.456	0.000	0.919	0.990
Stip1	Hsp90ab1	2096458	2096071	ENSMUSP00000025918	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.946	0.896	0.000	0.992	0.999
Hspa2	Dnaja1	2106962	2097750	ENSMUSP00000079306	ENSMUSP00000030118	0.454	0.000	0.500	0.000	0.276	0.400	0.000	0.685	0.956
Hspa1b	Dnaja1	2113648	2097750	ENSMUSP00000128525	ENSMUSP00000030118	0.454	0.000	0.499	0.000	0.498	0.400	0.000	0.794	0.980
Hsp90ab1	Hspa8	2096071	2094310	ENSMUSP00000024739	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.748	0.725	0.900	0.991	0.999
Dnajb3	Grpel1	2112276	2098073	ENSMUSP00000112703	ENSMUSP00000031099	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.428	0.856
Sugt1	Cdc37	2102636	2094668	ENSMUSP00000052942	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.111	0.752	0.000	0.382	0.851
Hsp90aa1	Dnajb1	2095266	2093717	ENSMUSP00000021698	ENSMUSP00000005620	0.000	0.000	0.000	0.000	0.651	0.198	0.900	0.948	0.998
Dnajb3	Hsp90ab1	2112276	2096071	ENSMUSP00000112703	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.621	0.198	0.000	0.597	0.870
