#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
Eif4e2	Eif4e1b	2111775	2111352	ENSMUSP00000108859	ENSMUSP00000105630	0.000	0.000	0.000	0.827	0.000	0.000	0.720	0.653	0.750
Eif4g3	Eif4e3	2107289	2098390	ENSMUSP00000081232	ENSMUSP00000032151	0.000	0.000	0.000	0.000	0.000	0.418	0.937	0.641	0.986
Eif4e2	Eif4e	2111775	2097653	ENSMUSP00000108859	ENSMUSP00000029803	0.000	0.000	0.000	0.849	0.000	0.000	0.720	0.745	0.751
Ncbp1	Pabpc1	2097720	2093290	ENSMUSP00000030014	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.570	0.831
Eif4e3	Ncbp1	2098390	2097720	ENSMUSP00000032151	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.000	0.536	0.720	0.210	0.888
Eif4e1b	Eif4g3	2111352	2107289	ENSMUSP00000105630	ENSMUSP00000081232	0.000	0.000	0.000	0.000	0.000	0.618	0.891	0.610	0.982
Eif4g2	Eif4e	2113058	2097653	ENSMUSP00000124551	ENSMUSP00000029803	0.000	0.000	0.000	0.000	0.215	0.372	0.960	0.664	0.992
Eif4g2	Eif4a2	2113058	2095885	ENSMUSP00000124551	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.367	0.666	0.953	0.398	0.993
Eif4e1b	Ncbp1	2111352	2097720	ENSMUSP00000105630	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.000	0.684	0.720	0.458	0.947
Eif4a1	Pabpc1	2113401	2093290	ENSMUSP00000127034	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.167	0.278	0.503	0.940	0.980
Eif4a1	Eif4e1b	2113401	2111352	ENSMUSP00000127034	ENSMUSP00000105630	0.000	0.000	0.000	0.000	0.109	0.530	0.492	0.649	0.915
Eif4a1	Eif4a2	2113401	2095885	ENSMUSP00000127034	ENSMUSP00000023599	0.000	0.000	0.527	0.987	0.000	0.000	0.900	0.823	0.901
Eif4a1	Ncbp1	2113401	2097720	ENSMUSP00000127034	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.148	0.209	0.000	0.433	0.594
Eif4g2	Eif4e3	2113058	2098390	ENSMUSP00000124551	ENSMUSP00000032151	0.000	0.000	0.000	0.000	0.000	0.166	0.942	0.132	0.955
Eif4g2	Eif4e2	2113058	2111775	ENSMUSP00000124551	ENSMUSP00000108859	0.000	0.000	0.000	0.000	0.000	0.166	0.885	0.548	0.955
Eif4g3	Pabpc1	2107289	2093290	ENSMUSP00000081232	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.131	0.557	0.495	0.788	0.954
Eif4g3	Eif4a2	2107289	2095885	ENSMUSP00000081232	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.000	0.666	0.953	0.834	0.997
Eif4g2	Eif4g1	2113058	2101700	ENSMUSP00000124551	ENSMUSP00000047678	0.000	0.000	0.000	0.662	0.070	0.902	0.960	0.761	0.997
Eif4e3	Pabpc1	2098390	2093290	ENSMUSP00000032151	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.000	0.295	0.000	0.221	0.427
Eif4a1	Eif4e3	2113401	2098390	ENSMUSP00000127034	ENSMUSP00000032151	0.000	0.000	0.000	0.000	0.000	0.184	0.900	0.209	0.929
Eif4g1	Ncbp1	2101700	2097720	ENSMUSP00000047678	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.000	0.684	0.900	0.281	0.975
Eif4e2	Ncbp1	2111775	2097720	ENSMUSP00000108859	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.000	0.536	0.720	0.210	0.888
Ncbp1	Eif4a2	2097720	2095885	ENSMUSP00000030014	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.000	0.209	0.000	0.296	0.433
Eif4g2	Eif4g3	2113058	2107289	ENSMUSP00000124551	ENSMUSP00000081232	0.000	0.000	0.000	0.661	0.070	0.895	0.960	0.761	0.996
Eif4a1	Eif4g3	2113401	2107289	ENSMUSP00000127034	ENSMUSP00000081232	0.000	0.000	0.000	0.000	0.000	0.596	0.953	0.934	0.998
Eif4a1	Eif4e2	2113401	2111775	ENSMUSP00000127034	ENSMUSP00000108859	0.000	0.000	0.000	0.000	0.142	0.184	0.000	0.586	0.692
Eif4g2	Eif4e1b	2113058	2111352	ENSMUSP00000124551	ENSMUSP00000105630	0.000	0.000	0.000	0.000	0.000	0.270	0.902	0.221	0.940
Eif4g1	Eif4e	2101700	2097653	ENSMUSP00000047678	ENSMUSP00000029803	0.000	0.000	0.000	0.000	0.000	0.984	0.960	0.961	0.999
Eif4g1	Eif4a2	2101700	2095885	ENSMUSP00000047678	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.000	0.666	0.953	0.776	0.996
Eif4e2	Pabpc1	2111775	2093290	ENSMUSP00000108859	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.000	0.295	0.000	0.602	0.708
Eif4g1	Eif4e3	2101700	2098390	ENSMUSP00000047678	ENSMUSP00000032151	0.000	0.000	0.000	0.000	0.000	0.418	0.937	0.739	0.989
Eif4e	Pabpc1	2097653	2093290	ENSMUSP00000029803	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.000	0.556	0.563	0.860	0.971
Eif4e2	Eif4e3	2111775	2098390	ENSMUSP00000108859	ENSMUSP00000032151	0.000	0.000	0.000	0.806	0.000	0.000	0.720	0.534	0.748
Eif4e2	Eif4g1	2111775	2101700	ENSMUSP00000108859	ENSMUSP00000047678	0.000	0.000	0.000	0.000	0.000	0.418	0.875	0.592	0.968
Eif4e1b	Eif4a2	2111352	2095885	ENSMUSP00000105630	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.109	0.530	0.492	0.649	0.915
Eif4e2	Eif4g3	2111775	2107289	ENSMUSP00000108859	ENSMUSP00000081232	0.000	0.000	0.000	0.000	0.000	0.418	0.875	0.667	0.975
Eif4g3	Ncbp1	2107289	2097720	ENSMUSP00000081232	ENSMUSP00000030014	0.000	0.000	0.000	0.000	0.000	0.684	0.000	0.882	0.962
Eif4g1	Pabpc1	2101700	2093290	ENSMUSP00000047678	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.131	0.557	0.563	0.971	0.994
Eif4g3	Eif4g1	2107289	2101700	ENSMUSP00000081232	ENSMUSP00000047678	0.000	0.000	0.000	0.900	0.000	0.879	0.960	0.859	0.995
Eif4a2	Pabpc1	2095885	2093290	ENSMUSP00000023599	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.130	0.278	0.503	0.491	0.824
Eif4e	Eif4a2	2097653	2095885	ENSMUSP00000029803	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.155	0.530	0.953	0.914	0.998
Eif4e2	Eif4a2	2111775	2095885	ENSMUSP00000108859	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.000	0.184	0.000	0.422	0.520
Eif4e1b	Eif4e	2111352	2097653	ENSMUSP00000105630	ENSMUSP00000029803	0.000	0.000	0.000	0.964	0.000	0.000	0.720	0.285	0.722
Eif4a1	Eif4g1	2113401	2101700	ENSMUSP00000127034	ENSMUSP00000047678	0.000	0.000	0.000	0.000	0.114	0.903	0.953	0.845	0.999
Eif4e3	Eif4a2	2098390	2095885	ENSMUSP00000032151	ENSMUSP00000023599	0.000	0.000	0.000	0.000	0.000	0.184	0.900	0.209	0.929
Eif4a1	Eif4e	2113401	2097653	ENSMUSP00000127034	ENSMUSP00000029803	0.000	0.000	0.000	0.000	0.109	0.530	0.953	0.967	0.999
Eif4g3	Eif4e	2107289	2097653	ENSMUSP00000081232	ENSMUSP00000029803	0.000	0.000	0.000	0.000	0.000	0.843	0.960	0.908	0.999
Eif4e1b	Eif4g1	2111352	2101700	ENSMUSP00000105630	ENSMUSP00000047678	0.000	0.000	0.000	0.000	0.000	0.618	0.891	0.619	0.983
Eif4e3	Eif4e	2098390	2097653	ENSMUSP00000032151	ENSMUSP00000029803	0.000	0.000	0.000	0.754	0.000	0.000	0.900	0.382	0.909
Eif4e1b	Pabpc1	2111352	2093290	ENSMUSP00000105630	ENSMUSP00000001809	0.000	0.000	0.000	0.000	0.000	0.556	0.484	0.676	0.921
Ncbp1	Eif4e	2097720	2097653	ENSMUSP00000030014	ENSMUSP00000029803	0.000	0.000	0.000	0.000	0.071	0.684	0.900	0.741	0.991
Eif4e1b	Eif4e3	2111352	2098390	ENSMUSP00000105630	ENSMUSP00000032151	0.000	0.000	0.000	0.724	0.000	0.000	0.720	0.337	0.743
Eif4a1	Eif4g2	2113401	2113058	ENSMUSP00000127034	ENSMUSP00000124551	0.000	0.000	0.000	0.000	0.000	0.596	0.953	0.639	0.992
